,Model,Subsystem,pvalue,ReactionRatio
233,DEN_Tumour_WD,"Transport, extracellular",0.011905508964713082,0.5555555555555556
234,DEN_Tumour_WD,"Transport, lysosomal",2.643567183026235e-05,0.96875
235,DEN_Tumour_WD,"Transport, mitochondrial",0.009152471806780915,0.5
236,DEN_Tumour_WD,"Valine, leucine, and isoleucine metabolism",0.018307355061340406,0.8695652173913043
237,DEN_Tumour_WD,Beta-oxidation (mitochondrial),0.09962479430580211,0.59375
238,DEN_Tumour_WD,Bile acid metabolism,0.05817525517765258,0.8666666666666667
239,DEN_Tumour_WD,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.19897258913768986,0.6666666666666666
240,DEN_Tumour_WD,Omega-3 fatty acid metabolism,0.19897258913789345,0.6470588235294118
241,DEN_Tumour_WD,Carnitine shuttle (mitochondrial),0.1929717856072895,0.625
242,DEN_Tumour_WD,Nucleotide metabolism,0.033643420559964686,0.47619047619047616
243,DEN_Tumour_WD,Tryptophan metabolism,0.025137944332094674,1.0
244,DEN_Tumour_WD,Starch and sucrose metabolism,0.025137944332094674,1.0
245,DEN_Tumour_WD,Glycerophospholipid metabolism,0.023809530679366437,0.45
246,DEN_Tumour_WD,Fatty acid oxidation,0.047515686798525254,0.47058823529411764
247,DEN_Tumour_WD,Pyruvate metabolism,0.037966964198143875,1.0
248,DEN_Tumour_WD,Glycolysis / Gluconeogenesis,0.028113448022444802,0.4444444444444444
249,DEN_Tumour_WD,Amino sugar and nucleotide sugar metabolism,0.19448872342649845,0.8
250,DEN_Tumour_WD,Carnitine shuttle (cytosolic),0.2406217373801753,0.6666666666666666
251,DEN_Tumour_WD,"Transport, peroxisomal",0.2341001881977912,0.7777777777777778
252,DEN_Tumour_WD,Glycosphingolipid metabolism,0.05729876706971917,1.0
253,DEN_Tumour_WD,Fatty acid biosynthesis,0.15465442297231421,0.875
254,DEN_Tumour_WD,"Phenylalanine, tyrosine and tryptophan metabolism",0.15465442297231421,0.875
255,DEN_Tumour_WD,Pyrimidine catabolism,0.24062173738020268,0.6363636363636364
256,DEN_Tumour_WD,"Transport, endoplasmic reticular",0.20375808701678597,0.8571428571428571
